Name,Importance,lng,lat
德清北,0.212429948,120.068979,30.627888
峡口,0.203977758,118.543844,28.46274
公盂岩,0.195156519,120.680635,28.677499
煤山南,0.193829813,119.667529,31.062785
古庙,0.186202978,120.793058,28.23206
上垟,0.184614504,118.876452,27.949181
淡竹,0.182297978,119.233016,29.563801
六工段,0.178948997,120.537016,30.361079
煤山北,0.178673506,119.690619,31.129279
太真,0.163940009,118.844215,29.185943
昱岭关,0.154699893,118.931824,30.055976
蛇蟠,0.15344181,121.578056,29.151943
海天一洲,0.133418801,121.135294,30.466124
新桥,0.123416156,118.740875,29.174706
花坦,0.103038758,120.780149,28.277534
花坦付,0.099902411,120.778085,28.278018
G25浙闽主线,0.09259429,118.907173,27.671267
泗安北,0.057774354,119.678317,30.953377
海盐,0,120.944144,30.581951
机场主线(入),0,120.396618,30.222205
留下,0,120.052423,30.245917
留下付,0,120.05547,30.245833
龙门古镇,0,119.929849,29.933166
乔司东,0,120.29198,30.346237
下沙东,0,120.390374,30.329448
余姚西,0,121.07019,30.029406
